Id,Category
0_1,1
0_2,3
0_3,6
0_4,8
0_5,10
0_6,2
0_7,5
0_8,4
1_1,12
1_2,1
1_3,3
1_4,6
1_5,8
1_6,2
1_7,5
1_8,4
2_1,4
2_2,2
2_3,1
2_4,6
3_1,4
3_2,9
3_3,1
3_4,3
4_1,1
4_2,3
4_3,8
4_4,10
4_5,2
4_6,4
4_7,5
4_8,6
5_1,4
5_2,9
5_3,6
5_4,2
6_1,4
6_2,9
6_3,2
6_4,3
7_1,7
7_2,11
7_3,3
7_4,4
8_1,7
8_2,12
8_3,1
8_4,6
8_5,8
8_6,6
8_7,5
8_8,3
8_9,1
9_1,2
9_2,12
9_3,1
9_4,3
9_5,6
9_6,4
9_7,5
10_1,12
10_2,1
10_3,8
10_4,6
10_5,5
10_6,2
11_1,9
11_2,5
12_1,2
12_2,3
12_3,6
12_4,5
12_5,5
12_6,1
13_1,10
13_2,5
13_3,2
13_4,4
14_1,10
14_2,5
14_3,4
14_4,6
14_5,3
14_6,2
15_1,5
15_2,4
15_3,6
15_4,2
16_1,12
16_2,6
16_3,6
16_4,8
16_5,3
16_6,4
16_7,2
16_8,5
17_1,2
17_2,12
17_3,1
17_4,3
17_5,6
17_6,8
17_7,4
17_8,5
18_1,5
18_2,7
18_3,6
18_4,3
19_1,10
19_2,5
19_3,4
19_4,6
19_5,2
19_6,5
20_1,12
20_2,1
20_3,6
20_4,8
20_5,5
20_6,3
20_7,2
20_8,4
21_1,5
21_2,4
21_3,2
21_4,1
22_1,4
22_2,11
22_3,2
22_4,12
22_5,1
22_6,3
22_7,6
22_8,5
23_1,9
23_2,7
23_3,5
23_4,6
24_1,2
24_2,3
24_3,6
24_4,4
24_5,5
24_6,3
25_1,8
25_2,10
25_3,4
25_4,6
26_1,4
26_2,11
26_3,2
26_4,12
26_5,1
26_6,3
26_7,6
26_8,5
27_1,9
27_2,7
27_3,2
27_4,3
28_1,2
28_2,12
28_3,3
28_4,6
28_5,4
28_6,1
28_7,1
29_1,10
29_2,5
29_3,6
29_4,1
30_1,2
30_2,12
30_3,3
30_4,6
30_5,5
30_6,1
30_7,4
32_1,4
32_2,2
32_3,1
32_4,3
32_5,6
32_6,5
33_1,4
33_2,7
33_3,11
33_4,12
33_5,1
33_6,3
33_7,6
33_8,2
33_9,5
34_1,6
34_2,8
34_3,10
34_4,3
34_5,2
34_6,1
35_1,4
35_2,11
35_3,2
35_4,12
35_5,1
35_6,3
35_7,6
35_8,5
36_1,4
36_2,2
36_3,1
36_4,3
36_5,6
36_6,5
37_1,4
37_2,11
37_3,2
37_4,1
37_5,3
37_6,6
37_7,5
38_1,5
38_2,9
38_3,5
38_4,3
39_1,8
39_2,10
39_3,2
39_4,4
40_1,3
40_2,6
40_3,5
40_4,2
41_1,4
41_2,7
41_3,11
41_4,1
41_5,2
41_6,3
41_7,5
41_8,6
42_1,9
42_2,2
42_3,12
42_4,1
42_5,12
42_6,8
43_1,5
43_2,5
43_3,6
43_4,3
45_1,3
45_2,6
45_3,5
45_4,12
46_1,2
46_2,8
46_3,2
46_4,1
47_1,4
47_2,7
47_3,11
47_4,2
47_5,12
47_6,1
47_7,5
47_8,6
47_9,3
48_1,3
48_2,6
48_3,2
48_4,1
49_1,6
49_2,4
50_1,3
50_2,6
50_3,5
50_4,4
51_1,10
51_2,5
51_3,6
51_4,2
52_1,8
52_2,4
52_3,9
52_4,11
52_5,2
52_6,5
52_7,1
52_8,6
52_9,3
53_1,8
53_2,4
53_3,11
53_4,6
53_5,6
53_6,5
53_7,3
53_8,1
54_1,9
54_2,7
54_3,2
54_4,12
54_5,3
54_6,4
54_7,8
54_8,6
55_1,8
55_2,4
55_3,4
55_4,11
55_5,1
55_6,6
55_7,2
55_8,3
56_1,6
56_2,4
57_1,6
57_2,4
57_3,3
57_4,1
58_1,8
58_2,5
58_3,4
58_4,7
58_5,11
58_6,2
58_7,1
58_8,6
58_9,3
59_1,5
59_2,7
59_3,4
59_4,2
60_1,8
60_2,5
60_3,4
60_4,7
60_5,11
60_6,2
60_7,3
60_8,6
60_9,1
61_1,3
61_2,6
62_1,12
62_2,1
62_3,5
62_4,2
63_1,1
63_2,3
63_3,2
63_4,6
64_1,8
64_2,4
64_3,9
64_4,11
64_5,2
64_6,5
64_7,1
64_8,6
64_9,3
65_1,8
65_2,5
65_3,4
65_4,9
65_5,7
65_6,11
65_7,2
65_8,3
65_9,6
65_10,1
66_1,8
66_2,5
66_3,4
66_4,9
66_5,7
66_6,11
66_7,2
66_8,3
66_9,1
66_10,6
67_1,8
67_2,5
67_3,4
67_4,7
67_5,11
67_6,4
67_7,1
67_8,2
67_9,6
68_1,8
68_2,5
68_3,6
68_4,7
68_5,11
68_6,3
68_7,1
68_8,6
68_9,2
69_1,3
69_2,6
69_3,8
69_4,4
69_5,1
69_6,2
70_1,8
70_2,5
70_3,4
70_4,7
70_5,11
70_6,6
70_7,2
70_8,3
70_9,1
71_1,3
71_2,6
71_3,5
71_4,2
72_1,2
72_2,12
72_3,3
72_4,5
73_1,10
73_2,9
73_3,2
73_4,8
74_1,8
74_2,10
74_3,5
74_4,4
74_5,9
74_6,7
74_7,11
74_8,12
74_9,3
74_10,2
74_11,12
75_1,8
75_2,5
75_3,4
75_4,7
75_5,11
75_6,6
75_7,2
75_8,3
75_9,1
76_1,11
76_2,2
76_3,12
76_4,3
76_5,6
76_6,5
77_1,8
77_2,10
77_3,4
77_4,9
77_5,6
77_6,5
77_7,5
77_8,2
78_1,3
78_2,8
78_3,4
78_4,9
78_5,7
78_6,2
78_7,1
78_8,4
78_9,1
78_10,6
79_1,10
79_2,2
79_3,12
79_4,6
79_5,3
79_6,12
80_1,8
80_2,10
80_3,5
80_4,9
80_5,7
80_6,6
80_7,6
80_8,2
80_9,1
80_10,4
81_1,3
81_2,6
81_3,2
81_4,5
82_1,8
82_2,1
82_3,5
82_4,9
82_5,7
82_6,3
82_7,6
82_8,4
82_9,2
82_10,1
83_1,2
83_2,12
